# spike raster log
# sample state timestep dm L0 L1 L2 L3 prediction match
sample=0 state=S_UPDATE timestep=0 dm=01 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=0 state=S_UPDATE timestep=1 dm=01 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=0 state=S_UPDATE timestep=2 dm=01 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=0 state=S_UPDATE timestep=3 dm=01 L0=01001111 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=0 state=S_UPDATE timestep=4 dm=01 L0=00100000 L1=01010110 L2=00000000 L3=00000000 pred=0 match=0
sample=0 state=S_UPDATE timestep=5 dm=01 L0=00000000 L1=10000000 L2=00000000 L3=00000000 pred=0 match=0
sample=0 state=S_UPDATE timestep=6 dm=01 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=0 state=S_UPDATE timestep=7 dm=01 L0=01000110 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=0 state=S_UPDATE timestep=8 dm=01 L0=00001001 L1=00100000 L2=00000000 L3=00000000 pred=0 match=0
sample=0 state=S_UPDATE timestep=9 dm=01 L0=00000000 L1=01000000 L2=00100110 L3=00000000 pred=0 match=0
sample=0 state=S_DONE timestep=10 dm=01 L0=00100000 L1=00000000 L2=00010000 L3=00000000 pred=0 match=0
sample=1 state=S_UPDATE timestep=0 dm=01 L0=00100000 L1=00000000 L2=00010000 L3=00000000 pred=0 match=0
sample=1 state=S_UPDATE timestep=1 dm=01 L0=01000110 L1=00000110 L2=00000000 L3=00000000 pred=0 match=0
sample=1 state=S_UPDATE timestep=2 dm=01 L0=00000000 L1=10011001 L2=10001000 L3=00000000 pred=0 match=0
sample=1 state=S_UPDATE timestep=3 dm=01 L0=00001001 L1=00000000 L2=01000001 L3=01100100 pred=0 match=0
sample=1 state=S_UPDATE timestep=4 dm=01 L0=00000000 L1=01000000 L2=00000000 L3=00011010 pred=288576 match=1
sample=1 state=S_UPDATE timestep=5 dm=01 L0=01000110 L1=00000000 L2=00000010 L3=00000000 pred=-687168 match=0
sample=1 state=S_UPDATE timestep=6 dm=01 L0=00100000 L1=00100110 L2=00000000 L3=00000000 pred=-654144 match=0
sample=1 state=S_UPDATE timestep=7 dm=01 L0=00000000 L1=00000000 L2=00010100 L3=00000000 pred=-623296 match=0
sample=1 state=S_UPDATE timestep=8 dm=01 L0=00001001 L1=00000000 L2=00000000 L3=00000000 pred=-592960 match=0
sample=1 state=S_UPDATE timestep=9 dm=01 L0=01000110 L1=01010000 L2=00000000 L3=00000000 pred=-564800 match=0
sample=1 state=S_DONE timestep=10 dm=01 L0=00000000 L1=10000000 L2=00100000 L3=00000000 pred=-537248 match=0
sample=2 state=S_UPDATE timestep=0 dm=01 L0=00000000 L1=10000000 L2=00100000 L3=00000000 pred=-515488 match=0
sample=2 state=S_UPDATE timestep=1 dm=01 L0=00000000 L1=00000000 L2=00000000 L3=00000001 pred=-491200 match=0
sample=2 state=S_UPDATE timestep=2 dm=01 L0=00100000 L1=00000000 L2=00000000 L3=00000000 pred=303360 match=1
sample=2 state=S_UPDATE timestep=3 dm=01 L0=01001111 L1=00000110 L2=00000000 L3=00000000 pred=288000 match=1
sample=2 state=S_UPDATE timestep=4 dm=01 L0=00000000 L1=01010000 L2=00001000 L3=00000000 pred=275168 match=1
sample=2 state=S_UPDATE timestep=5 dm=01 L0=00000000 L1=00000000 L2=00000010 L3=10000000 pred=262432 match=1
sample=2 state=S_UPDATE timestep=6 dm=01 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=153312 match=1
sample=2 state=S_UPDATE timestep=7 dm=01 L0=01000110 L1=00000000 L2=00000000 L3=00000000 pred=146400 match=1
sample=2 state=S_UPDATE timestep=8 dm=01 L0=00101001 L1=10100111 L2=00000000 L3=00000000 pred=140512 match=1
sample=2 state=S_UPDATE timestep=9 dm=01 L0=00000000 L1=01000000 L2=11110100 L3=00000000 pred=133216 match=1
sample=2 state=S_DONE timestep=10 dm=01 L0=00000000 L1=00000000 L2=00000000 L3=00111110 pred=126432 match=1
sample=3 state=S_UPDATE timestep=0 dm=01 L0=00000000 L1=00000000 L2=00000000 L3=00111110 pred=-520832 match=0
sample=3 state=S_UPDATE timestep=1 dm=01 L0=01000110 L1=00000000 L2=00000000 L3=00000000 pred=-1266976 match=0
